Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"A&D of Greensborough, Inc.",,Open,03/10/2021,,"100 to 499",6,"NC, VA"
"A&E food Service",,Open,03/15/2021,,"20 to 99",1,VA
"A&E Plumbing Inc.","A&E Plumbing Inc.",Open,04/23/2019,,"20 to 99",1,VA
"A&E Technologies, Inc",,Open,08/25/2010,,"20 to 99",1,VA
"A&J corporation t/a Baskin-robbins",,Open,05/24/2006,,"5 to 9",1,VA
"A&J Development and Excavation","A&J Development and Excavation",Open,05/24/2018,,"20 to 99",1,VA
"A&M Concrete Corporation",,Open,08/15/2008,,"20 to 99",1,VA
"A&M Drywall Construction, Inc.",,Open,02/17/2011,,"20 to 99",3,"DC, MD, VA"
"A&M Ship Repair llc",,Open,11/26/2018,,"10 to 19",1,VA
"A&P Services, LLC",,Open,01/21/2015,,"5 to 9",2,"NC, VA"
"A&R Logistics, Inc.",,Open,05/04/2005,,"500 to 999",24,"AL, CA, GA, IL, IN, KY, LA, MA, MS, NC, OH, PA, SC, TX, VA, WV"
"A-1 ADULT HOMECARE, INC","VISITING ANGELS",Open,06/18/2015,,"20 to 99",1,VA
"A-1 Carpet Service, Inc.","Nationwide Commericail Flooring",Open,09/28/2011,,"10 to 19",1,VA
"A-1 Flood Tech",,Open,10/12/2007,,"10 to 19",1,VA
"A-1 Glass Company, Inc.",,Open,06/29/2012,,"10 to 19",1,VA
"A-1 Plumbing Companies LLC","A-1 Sewer & Drain",Open,06/25/2019,,"20 to 99",1,VA
"A-Able Plumbing Inc",,Open,02/17/2023,,"20 to 99",2,VA
"A-annandale, Inc",,Open,11/11/2009,,"20 to 99",1,VA
"A-PLUS STUDENT STAFFING",,Open,11/25/2013,,"500 to 999",5,"NV, TX, VA"
"A-TEK, Inc",,Open,04/06/2023,,"100 to 499",1,VA
"A-TEK, Inc.",,Open,12/22/2008,,"100 to 499",1,VA
"A. D. STOWE,INC.",,Open,07/27/2012,,"20 to 99",1,VA
"A. M. DAVIS, INC.","A. M. DAVIS, INC.",Open,04/18/2019,,"20 to 99",1,VA
"A. Reddix & Associates Inc.",,Open,02/28/2022,,"20 to 99",1,VA
"A. Reddix & Associates, Inc.",,Open,02/11/2010,,"20 to 99",1,VA
"A. Stucki Company",,Open,06/09/2010,,"500 to 999",17,"IL, KY, MO, NE, NJ, NY, OH, PA, TX, VA"
"A. Stucki Company",,Open,11/27/2018,,"500 to 999",14,"AL, IL, KY, MO, NE, OH, PA, TX, VA"
"A. Stucki Company",,Open,06/19/2020,,"1,000 to 2,499",24,"AL, IL, KY, MI, NE, NJ, NY, OH, PA, SC, TX, VA"
"A.D. STOWE",,Open,03/09/2023,,"20 to 99",1,VA
