Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"International Network for Public Schools, Inc",,Open,01/05/2016,,"20 to 99",9,"CA, DC, FL, MD, NY, VA"
"International Nursing LLC",,Open,08/22/2014,,"20 to 99",1,VA
"International Nursing LLC",,Open,02/10/2015,,"20 to 99",1,VA
"International Paper Company",,Open,07/15/2011,,"10,000 and over",386,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI"
"International Parking & Mobility Institute",,Open,02/18/2020,,"10 to 19",1,VA
"International Preparedness Associates, Inc.",,Open,09/28/2009,,"20 to 99",1,VA
"International Rescue Committee",,Open,01/09/2009,,"500 to 999",32,"AZ, CA, CO, DC, FL, GA, ID, KS, MD, MT, NJ, NY, OR, TX, UT, VA, WA"
"International Road Federation",,Open,09/25/2014,,"10 to 19",1,VA
"International Roll-Call Corporation",IRC,Open,01/24/2014,,"10 to 19",1,VA
"International School of Arts, LLC","New York School of Arts",Open,01/09/2023,,"10 to 19",1,VA
"International Scientific Technologies, Inc.",,Open,10/25/2017,,"5 to 9",1,VA
"International Society for Technology in Education",,Open,10/31/2022,,"100 to 499",1,VA
"International Solutions Group,Inc",,Open,09/02/2008,,"20 to 99",1,VA
"International Student Exchange Programs",,Open,03/06/2014,,"20 to 99",1,VA
"International Student Success Center LLC",,Open,05/13/2016,,"5 to 9",1,VA
"International Surveillance Technology, Inc",,Open,08/21/2007,,"20 to 99",4,"CA, FL, IL, VA"
"International Technology and Engineering Educators Association",,Open,01/23/2012,,"10 to 19",1,VA
"International Technology Engineering Educators Association",ITEEA,Open,12/19/2022,,"5 to 9",1,VA
"International Technology Industry, Inc.","ITI, Inc.",Open,02/03/2023,,"20 to 99",1,VA
"International-Matex Tank Terminals LLC",,Open,04/11/2018,,"500 to 999",33,"AL, CA, GA, IL, LA, NJ, NM, TX, VA"
"Internet Archive","Internet Archive",Open,05/27/2021,,"100 to 499",3,"CA, MD, VA"
"Internet Society",,Open,05/13/2016,,"20 to 99",1,VA
"Internet Society",,Open,10/05/2022,,"20 to 99",1,VA
"Internet Society Foundation",,Open,09/01/2022,,"20 to 99",1,VA
"Internet Tool & Die Company","Internet Tool & Die Company",Open,01/18/2023,,"10 to 19",1,VA
"Interopion, Inc.",,Open,06/29/2012,,"5 to 9",4,"MA, TX, UT, VA"
"Interos Inc.",,Open,05/29/2008,,"20 to 99",1,VA
"Interos Inc.",,Open,01/17/2023,,"100 to 499",1,VA
"Interpersonal Frequency LLC",,Open,05/01/2023,,"20 to 99",1,VA
"Interpersonal Frequency LLC","The Rao Group",Open,05/02/2016,,"10 to 19",3,"NY, VA, WA"
"Interscripts Inc",,Open,01/08/2022,,"20 to 99",2,"FL, VA"
"Intersections LLC","Pango Group",Open,07/06/2016,,"100 to 499",2,"MA, VA"
"Intersections LLC","Pango Group",Open,04/18/2022,,"20 to 99",4,"CA, MA, NM, VA"
"InterSpan, Inc.",,Open,01/27/2016,,"500 to 999",1,VA
"InterSpec Design, Inc.",,Open,04/02/2013,,"5 to 9",1,VA
"InterSpec, LLC","InterSpec, LLC",Open,04/25/2014,,"20 to 99",1,VA
"Interstate Group, LLC",,Open,10/12/2007,,"100 to 499",42,"AL, AR, AZ, CA, CO, GA, ID, KS, MO, NV, OK, OR, TN, TX, UT, VA, WA"
"INTERSTATE HOLDING CORPORATION",,Open,12/13/2018,,"20 to 99",7,"IL, NJ, NY, OH, PA, SC, VA"
"INTERSTATE MECHANICAL PACKAGING",,Open,12/13/2018,,"5 to 9",6,"AL, DE, GA, MD, SC, VA"
"Interstate Warehousing",,Open,05/03/2021,,"1,000 to 2,499",8,"IL, IN, OH, TN, VA"
"Interstate Warehousing Inc",,Open,04/04/2019,,"20 to 99",1,VA
Interstate1795LLC,"Comfort Suites",Open,07/22/2013,,"10 to 19",1,VA
"InterSystems Corporation",,Open,02/17/2017,,"500 to 999",3,"MA, NY, VA"
"Intertape Polymer Corp",,Open,12/16/2013,,"1,000 to 2,499",10,"CO, FL, IL, MI, SC, UT, VA, WI"
"Intertek USA, Inc.",,Open,11/15/2011,,"2,500 to 4,999",296,"AK, AL, AR, AZ, CA, CO, CT, DC, FL, GA, HI, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, NC, ND, NH, NJ, NY, OH, OK, OR, PA, PR, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
"Interventional Pain & Spine Specialists","Interventional Pain & Spine Specialists",Open,05/18/2020,,"20 to 99",1,VA
"Intigno Inc",,Open,02/22/2022,,"20 to 99",1,VA
"INTO Mason, LLC",,Open,11/12/2014,,"5 to 9",1,VA
"Intoprint Technologies, Inc.",,Open,02/10/2012,,"20 to 99",1,VA
"InTouch Credit Union",,Open,07/22/2015,,"100 to 499",20,"MI, NV, TN, TX, VA"
"InTown Lessee Services, LLC",,Open,07/12/2019,,"500 to 999",192,"AL, AZ, CO, FL, GA, IL, IN, KY, LA, MN, MO, MS, NC, NM, OH, OK, PA, SC, TN, TX, UT, VA"
"InTown Services Corp",,Open,07/12/2019,,"500 to 999",192,"AL, AZ, CO, FL, GA, IL, IN, KY, LA, MN, MO, MS, NC, NM, OH, OK, PA, SC, TN, TX, UT, VA"
"Intracoastal Marine, Inc.",,Open,04/13/2012,,"20 to 99",1,VA
"IntraFi Network LLC",,Open,04/07/2022,,"100 to 499",2,"AZ, VA"
"intraFUSION GP, LLC",,Open,05/22/2009,,"20 to 99",23,"AL, CO, LA, MD, NC, OH, TN, TX, UT, VA"
"Intravene, LLC",,Open,09/24/2018,,"20 to 99",1,VA
"INTREPICS, LLC",,Open,09/29/2009,,"5 to 9",1,VA
"Intrepid Solutions and Services LLC",,Open,01/21/2020,,"100 to 499",1,VA
"Intrepid Solutions and Services LLC",,Open,12/02/2020,,"100 to 499",1,VA
"Intrepid Solutions and Services, Inc.","Intrepid Solutions and Services, Inc.",Open,03/06/2013,,"20 to 99",1,VA
"Intrepid Solutions and Services, LLC",,Open,06/19/2017,,"100 to 499",1,VA
"Intrepid Technology Services, Inc.",ServRight,Open,03/14/2014,,"20 to 99",1,VA
IntrepidUSA(HOSPICE)#513,,Open,12/19/2016,,"10 to 19",1,VA
"Intricate Metal Forming Co",,Open,05/26/2017,,"20 to 99",1,VA
"Intrinsic Exchange Group",,Open,09/23/2022,,"5 to 9",1,VA
"Introhive, Inc.",,Open,02/01/2021,,"10 to 19",1,VA
"Intuit, Inc.",,Open,01/27/2020,,"10,000 and over",10,"AZ, CA, DC, ID, NV, TX, VA"
"Intuitive Information Systems Technologies LLC",,Open,05/15/2008,,"20 to 99",1,VA
"Intuitive Information Systems Technologies, LLC",,Open,04/16/2020,,"20 to 99",36,"AL, AZ, CA, FL, IN, KY, LA, MA, MD, MI, MO, MS, NY, TN, TX, UT, VA"
"Intuitive Surgical Inc",,Open,12/16/2021,,"1,000 to 2,499",10,"AZ, CA, CT, GA, MA, MS, NC, VA"
"Intuitive Surgical Operations Inc",,Open,12/16/2021,,"2,500 to 4,999",10,"AZ, CA, CT, GA, MA, MS, NC, VA"
Intuitive.it,,Open,09/25/2013,,"20 to 99",1,VA
"Intus Windows",,Open,07/22/2016,,"20 to 99",1,VA
"Invenergy LLC",,Open,06/04/2014,,"100 to 499",5,"CO, IL, OR, PA, VA"
"Inventory Made Simple",,Open,05/28/2020,,"5 to 9",1,VA
"Inverness Technologies, Inc.",,Open,05/23/2012,,"20 to 99",11,"CT, DC, DE, KY, MD, NC, NH, OH, PA, RI, VA"
"Invertix Corporation",,Open,08/24/2007,,"20 to 99",1,VA
"Investigative Intelligence Solutions, LLC",,Open,11/13/2014,,"5 to 9",1,VA
"Investure LLC",,Open,01/28/2019,,"20 to 99",1,VA
"Invexer Technology Inc.",,Open,03/07/2011,,"10 to 19",1,VA
"Invictus Associates",,Open,05/09/2022,,"20 to 99",1,VA
"INVICTUS ASSOCIATES LLC",,Open,01/10/2018,,"10 to 19",1,VA
"Invictus International Consulting, LLC",,Open,11/05/2019,,"100 to 499",20,"CO, DC, FL, HI, MD, NE, SC, TX, VA, VT"
"Invincea Lab",,Open,09/21/2012,,"20 to 99",1,VA
"Invoice Cloud, Inc.",,Open,05/11/2011,,"100 to 499",3,"MA, TX, VA"
"Involve, LLC",,Open,08/23/2019,,"5 to 9",1,VA
"Inxech Corp",,Open,10/30/2018,,"20 to 99",5,"CA, MA, NY, VA"
"IO Education LLC",,Open,12/16/2016,,"20 to 99",4,"CA, GA, NY, VA"
IOMAXIS,IOMAXIS,Open,08/04/2010,,"20 to 99",1,VA
"IOMAXIS, LLC",,Open,05/08/2019,,"100 to 499",1,VA
"Ion International Training Center LLC",,Open,07/02/2019,,"20 to 99",1,VA
"ionHealthcare, Inc.",ionHealthcare,Open,03/28/2017,,"100 to 499",1,VA
"IonIdea Inc",,Open,06/06/2014,,"20 to 99",1,VA
"iORMYX Inc",,Open,04/01/2014,,"20 to 99",7,"CA, MA, NJ, OH, PA, TX, VA"
"IOTA SOLUTIONS, LLC",IOTA360,Open,07/19/2017,,"10 to 19",1,VA
"IOTAP Inc",,Open,02/08/2023,,"10 to 19",1,VA
"IOV Solutions",,Open,06/25/2020,,"10 to 19",1,VA
"Iowa 80 Group, Inc.","Iowa 80 Group, Inc.",Open,01/03/2013,,"1,000 to 2,499",13,"AR, GA, IA, IL, IN, MO, NC, OH, OK, TX, VA"
"IP Consulting Inc",,Open,02/10/2021,,"10 to 19",1,VA
"IP Network Solutions Inc",,Open,04/13/2011,,"20 to 99",2,"GA, VA"
"IP Storage Solutions","IP Storage Solutions",Open,01/07/2021,,"20 to 99",1,VA
"IP Systems International, LLC",,Open,08/04/2008,,"10 to 19",1,VA
"IPC Technologies, Inc","IPC Technologies, Inc",Open,08/19/2011,,"20 to 99",1,VA
"IPConfigure, Inc.",,Open,09/24/2012,,"20 to 99",1,VA
"IPG DXTRA Entertainment, Inc.",,Open,05/13/2020,,"100 to 499",4,"CA, CT, NY, VA"
"IPG DXTRA, Inc.",,Open,01/30/2019,,"1,000 to 2,499",30,"CA, CO, CT, DC, FL, GA, IL, MA, MD, MI, MN, NC, NE, NJ, NY, PA, TX, VA, WA"
"IPG/Sage Apartment Communities",,Open,09/07/2018,,"100 to 499",45,"CA, GA, HI, ID, MI, MN, NJ, NV, NY, OR, PA, RI, VA, WA"
"IPKeys Technologies",,Open,10/20/2020,,"100 to 499",3,"MD, NJ, VA"
"IPKeys Technologies LLC",,Open,08/16/2010,,"100 to 499",3,"CA, NJ, VA"
"iPlacement Inc.",,Open,04/04/2019,,"20 to 99",11,"CA, CO, FL, MI, MN, NE, OH, VA, WI"
"iPower LLC","iPower LLC",Open,07/06/2010,,"5 to 9",1,VA
"Ippon Technology Inc","Ippon Technologies",Open,07/17/2015,,"10 to 19",1,VA
"Ippon Technology INC","Ippon Technologies USA",Open,02/18/2021,,"20 to 99",3,"DC, NY, VA"
"IPS Learning",,Open,05/29/2015,,"20 to 99",1,VA
"IPSecure Inc",,Open,06/21/2018,,"100 to 499",8,"AL, AZ, FL, GA, MA, TX, VA"
"iptiQ Americas Inc",,Open,01/01/2017,,"20 to 99",30,"AZ, CA, CO, CT, DC, FL, GA, IA, ID, IL, IN, MA, MI, NC, NH, NJ, NY, PA, TX, VA, WA"
"iQ Genetix, LLC",,Open,01/31/2023,,"20 to 99",1,VA
"IQ Solutions",,Open,05/04/2017,,"100 to 499",3,"GA, MD, VA"
"IQLOGG INC.","IQLOGG INC.",Open,10/30/2013,,"10 to 19",1,VA
IQT,,Open,11/14/2019,,"100 to 499",3,"CA, MA, VA"
"iQuasar LLC",,Open,03/23/2010,,"20 to 99",1,VA
"IQVIA Inc",,Open,06/05/2009,,"1,000 to 2,499",20,"CA, CT, IL, MA, NH, NJ, NY, PA, VA, WI"
"Ireland Electric Co.",,Open,03/28/2014,,"20 to 99",1,VA
"IRflex Corporation","IRflex Corporation",Open,05/24/2017,,"5 to 9",1,VA
"Iridian Solutions LLC",,Open,05/30/2008,,"10 to 19",1,VA
"IRIS Health Solutions, LLC",,Open,03/29/2016,,"10 to 19",1,VA
"Iron Bow Technologies",,Open,02/02/2010,,"500 to 999",4,"HI, MD, VA, WA"
"Iron Bow Technologies, LLC",,Open,01/06/2022,,"1,000 to 2,499",1,VA
"Iron Eagle Logistics Inc.","EagleX Logistics",Open,10/21/2021,,"10 to 19",1,VA
"Iron Fish Construction LLC","Iron Fish Construction LLC",Open,09/14/2021,,"20 to 99",1,VA
"Iron Fish Construction LLC","Iron Fish Construction LLC",Open,10/19/2021,,"20 to 99",1,VA
"Iron Horse Mechanical, Inc","Iron Horse Mechanical, Inc",Open,09/22/2011,,"5 to 9",1,VA
"Iron Mountain Inc.",,Open,12/21/2016,,"5,000 to 9,999",747,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, ID, IL, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV"
"IRON VINE SECURITY, LLC","IRON VINE SECURITY",Open,07/14/2010,,"20 to 99",1,VA
"IronArch Technology",,Open,11/27/2018,,"20 to 99",1,VA
"IronArch Technology",,Open,02/04/2020,,"20 to 99",1,VA
"IronBrick Associates, LLC",IRONBRICK,Open,06/25/2013,,"10 to 19",1,VA
"IronBridge Construction, Inc.",,Open,05/16/2012,,"20 to 99",1,VA
"IronBridge Construction, Inc.",,Open,07/22/2014,,"10 to 19",1,VA
"Ironbridge Consulting, LLC",,Open,09/03/2010,,"10 to 19",1,VA
"Ironclad Technology Services",,Open,04/18/2022,,"100 to 499",1,VA
"Ironclad, Inc.",,Open,02/19/2010,,"10 to 19",1,VA
"IronNet Cybersecurity",,Open,11/16/2015,,"20 to 99",2,"MD, VA"
"Ironwood Financial LLC","Ironwood Payments",Open,02/03/2017,,"20 to 99",7,"AZ, MN, MO, MS, NY, UT, VA"
"Ironworks Development LLC",,Open,05/02/2016,,"20 to 99",8,"CO, NV, OK, PA, SC, TN, TX, VA"
"IRVIN SIMON PHOTOGTAPHERS, INC",,Open,06/12/2014,,"20 to 99",2,"FL, VA"
"Irvine Access Floors, Inc.",,Open,05/21/2010,,"20 to 99",6,"AL, FL, GA, MD, NC, VA"
"Irvine Access Floors, Inc.",,Open,06/16/2015,,"20 to 99",1,VA
"Irvine Warrior Ventures, LLC",,Open,02/15/2021,,"5 to 9",17,"FL, IA, IN, MD, NE, NJ, NY, PA, SC, TX, VA"
"Irving Burton Associates, Inc.",,Open,01/08/2009,,"100 to 499",2,"CO, VA"
"ISADA HEALTHCARE  SERVICES INC.",,Open,04/19/2013,,"5 to 9",1,VA
"Isaiahs Cleaning Service LLC",,Open,07/27/2020,,"5 to 9",1,VA
"ISC Sales, LLC",,Open,02/02/2009,,"10 to 19",1,VA
"ISE, Inc",,Open,08/25/2014,,"20 to 99",1,VA
iSenpai,,Open,06/13/2017,,"5 to 9",1,VA
"iSenpai, LLC",,Open,09/01/2015,,"10 to 19",8,"CO, FL, HI, VA"
"ISEWAN USA INC",,Open,12/02/2019,,"20 to 99",5,"CA, GA, IL, NC, VA"
ISG,ISG,Open,05/02/2019,,"20 to 99",11,"AL, CO, FL, LA, MD, ME, ND, NY, TX, VA, WV"
"Ishpi Information Technologies, Inc",,Open,07/23/2020,,"100 to 499",54,"CA, DC, FL, IL, LA, MD, ME, MS, NC, NH, NV, SC, TX, VA, WV"
"Ishpi Information Technologies, Inc.",,Open,07/23/2009,,"100 to 499",19,"AK, CA, DC, FL, IL, MD, NC, NV, SC, TX, VA"
"Isis, Inc.",,Open,10/23/2007,,"20 to 99",1,VA
"Island Carousel Inc",,Open,12/17/2013,,"100 to 499",38,"CA, CO, FL, GA, IA, IL, IN, MA, MD, ME, MI, MN, MO, MS, NC, NJ, NY, PA, TN, TX, VA, WV"
"ISLAND EXPRESS CORPORATION",,Open,11/18/2009,,"5 to 9",1,VA
"Isle of Wight County",,Open,03/25/2019,,"100 to 499",1,VA
"Isocore Corporation",Isocore,Open,07/27/2012,,"10 to 19",1,VA
"Isoft Solution LLC",,Open,05/29/2021,,"5 to 9",1,VA
"ISOFT SOLUTIONS, LLC",,Open,11/28/2012,,"20 to 99",1,VA
"ISoftech Inc",,Open,11/03/2009,,"20 to 99",1,VA
"Isolvers, Inc",,Open,01/31/2012,,"20 to 99",2,"FL, VA"
"ISOLVETECHNOLOGY iNC","ISOLVETECHNOLOGY INC",Open,10/06/2010,,"20 to 99",1,VA
"Isotemp Research, Inc.",,Open,06/07/2007,,"10 to 19",2,"CO, VA"
"ISPA Technology LLC",,Open,12/20/2008,,"100 to 499",2,"FL, VA"
"ISS Logistics, Inc","Innovative Sleep Solutions",Open,05/01/2018,,"10 to 19",1,VA
"Issuer Direct Corporation",,Open,08/26/2014,,"20 to 99",2,"NC, VA"
"Issues & Answers Network, Inc.",,Open,10/18/2007,,"100 to 499",4,"MI, VA"
"Issuetrak, Inc.",,Open,10/06/2011,,"20 to 99",1,VA
"ISTANBULL GRILL, LLC",,Open,06/26/2019,,"5 to 9",1,VA
"ISTREAM SOLUTIONS",,Open,11/19/2014,,"5 to 9",2,"MD, VA"
"Istream Solutions Inc",,Open,02/26/2010,,"20 to 99",1,VA
"iSystems Group, inc.",,Open,01/22/2013,,"5 to 9",1,VA
"IT Authorities Inc",,Open,10/22/2021,,"20 to 99",1,VA
"IT Cadre LLC",,Open,05/06/2010,,"20 to 99",1,VA
"IT Central Inc",,Open,10/08/2009,,"5 to 9",1,VA
"IT Concepts Inc",,Open,09/15/2014,,"100 to 499",1,VA
"IT Concepts, Inc.",,Open,10/04/2018,,"20 to 99",1,VA
"IT Concepts, Inc.",,Open,03/15/2023,,"100 to 499",1,VA
"IT DATA CONSULTING, LLC",ITDC,Open,07/30/2020,,"5 to 9",1,VA
"IT IDEOLOGY LLC",,Open,09/19/2012,,"20 to 99",3,"IN, PA, VA"
"IT Minds LLC",,Open,09/06/2017,,"20 to 99",2,"CA, VA"
"IT Objects LLC",,Open,11/24/2009,,"20 to 99",1,VA
"IT PANDITS INC",,Open,03/25/2019,,"5 to 9",1,VA
"IT Professionals, Inc","IT Professionals, Inc",Open,02/09/2011,,"5 to 9",1,VA
"IT Shows Inc",,Open,09/28/2009,,"20 to 99",1,VA
"IT Vertex, Inc",,Open,11/19/2014,,"5 to 9",3,"MN, VA"
"IT Veterans, LLC",,Open,06/11/2018,,"20 to 99",1,VA
"IT View Inc.",,Open,08/05/2016,,"10 to 19",1,VA
"ITA International, LLC",,Open,06/20/2008,,"100 to 499",1,VA
"Italian Princess, Inc.",,Open,09/11/2020,,"5 to 9",1,VA
"iTalk Global Communications, Inc",,Open,06/29/2017,,"20 to 99",1,VA
"iTalk Mobile Corporation",,Open,01/10/2017,,"5 to 9",2,"TX, VA"
"ITAllianz Inc",,Open,03/01/2019,,"5 to 9",1,VA
"ITC Defense Corp",,Open,08/04/2014,,"20 to 99",3,"AL, FL, VA"
"Itcon Services",,Open,05/23/2023,,"100 to 499",1,VA
"ITCON Services LLC",,Open,05/23/2022,,"20 to 99",1,VA
"ITDR, Inc.","ITDR, Inc.",Open,11/04/2010,,"20 to 99",1,VA
"iTech AG LLC",,Open,03/29/2017,,"20 to 99",1,VA
"iTech AG, LLC",,Open,11/08/2021,,"20 to 99",1,VA
"Itech Consulting Group Inc",,Open,12/09/2020,,"5 to 9",1,VA
"iTEK Software LLC",,Open,10/25/2010,,"20 to 99",1,VA
"Iteris Inc.",,Open,09/04/2019,,"100 to 499",4,"CA, ND, VA"
"Iteris, Inc.",,Open,12/09/2015,,"100 to 499",4,"CA, ND, VA"
"Itero Group LLC","Itero Group LLC",Open,02/09/2019,,"20 to 99",2,"PA, VA"
"ITFederal, LLC",,Open,06/05/2017,,"5 to 9",1,VA
"ITG Brands",,Open,08/08/2019,,"2,500 to 4,999",44,"AL, AR, AZ, CA, CO, CT, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, SC, TN, TX, VA, WA, WI"
"iThrive Games Foundation","iThrive Games",Open,04/02/2018,,"5 to 9",8,"CA, GA, MA, NY, PA, VA"
"ITility LLC.",,Open,11/22/2018,,"100 to 499",1,VA
"ITility, LLC",,Open,01/05/2009,,"20 to 99",1,VA
"ITility, LLC",,Open,03/30/2015,,"100 to 499",1,VA
"ITM Construction, Inc.",,Open,11/06/2009,,"10 to 19",1,VA
"ITM4G, LLC",,Open,03/28/2014,,"20 to 99",1,VA
"ITM4G, LLC",,Open,06/14/2022,,"20 to 99",3,"MD, TX, VA"
"ITMS, Inc.","ITMS, Inc.",Open,10/21/2022,,"20 to 99",1,VA
"iTracs LLC",,Open,05/30/2017,,"20 to 99",47,"AZ, CA, CT, FL, GA, IL, MA, MN, NC, NE, NJ, NM, NV, NY, PA, TN, TX, VA, WV"
"Its Delivered Logistics",,Open,01/24/2022,,"20 to 99",1,VA
"Its Haul Good LLC",,Open,01/27/2020,,"10 to 19",1,VA
"ITSC Secure Solutions",,Open,04/08/2021,,"20 to 99",1,VA
"ITT Electronic Systems Sonar and Command Systems",,Open,09/08/2009,,"20 to 99",1,VA
"IV IT Solutions llc","IV IT Solutions",Open,07/14/2020,,"10 to 19",3,"CA, TX, VA"
"IV Labs Inc",,Open,01/14/2023,,"20 to 99",1,VA
"IV Labs, Inc","Inorganic Ventures",Open,05/06/2015,,"20 to 99",1,VA
"Ivy Mortgage Inc.",,Open,10/23/2017,,"20 to 99",6,"CA, MD, NJ, TX, VA, WA"
"IvyRehab Network, Inc",,Open,06/01/2018,,"100 to 499",109,"CT, IL, IN, MI, NJ, NY, PA, SC, VA"
"IWON, LLC",,Open,11/03/2009,,"20 to 99",2,VA
"iWorks Corporation",,Open,07/02/2008,,"20 to 99",2,VA
"IXL Learning, Inc.",,Open,09/14/2021,,"1,000 to 2,499",10,"AZ, CA, CO, IL, NC, RI, VA, WA"
"iXoop Infotech, Inc.",iXoop,Open,05/29/2020,,"20 to 99",1,VA
"IZ Technologies, Inc.",,Open,06/09/2010,,"10 to 19",1,VA
"IZ Technologies, Inc.",,Open,01/07/2013,,"20 to 99",2,"FL, VA"
"iZeal,Inc",,Open,04/21/2008,,"10 to 19",1,VA
"J & D MECHANICAL SERVICES, INC.","J & D MECHANICAL SERVICES, INC.",Open,11/03/2016,,"20 to 99",1,VA
"J & H Lawn Service, Inc",,Open,08/10/2011,,"10 to 19",1,VA
"J & J Landscape Management Inc.",,Open,12/09/2011,,"5 to 9",1,VA
"J & P Courier, INC",,Open,01/22/2011,,"5 to 9",1,VA
"J & R Carriers",,Open,10/01/2010,,"5 to 9",1,VA
"J & T Food Services, Inc","Downtown Grill",Open,09/03/2015,,"10 to 19",1,VA
"J and P Exhaust Cleaning LLC","J and P Exhaust Cleaning LLC",Open,02/11/2019,,"5 to 9",1,VA
"j cary deliverly inc",,Open,11/25/2009,,"5 to 9",1,VA
"J G Miller Inc",,Open,11/28/2018,,"20 to 99",1,VA
"J K Electric",,Open,03/06/2008,,"5 to 9",1,VA
"J King DeShazo III Inc",,Open,05/14/2009,,"10 to 19",1,VA
"J L MARSHALL & ASSOCIATES, INC",,Open,02/13/2020,,"5 to 9",1,VA
"J Lynn Land Creations, Inc.","J Lynn Land Creations, Inc.",Open,06/30/2016,,"10 to 19",1,VA
"J P Systems, Inc.",,Open,10/28/2013,,"20 to 99",1,VA
"J R Contractors, Inc",,Open,09/10/2014,,"10 to 19",1,VA
"J S Inc.",,Open,05/04/2009,,"10 to 19",1,VA
"J S Teksys",,Open,07/09/2018,,"5 to 9",1,VA
"J Seal Tight, LLC.",,Open,10/31/2017,,"5 to 9",1,VA
"J T Russell And Sons, Inc",,Open,02/22/2013,,"100 to 499",4,"GA, NC, VA"
"J Terry & Associates Inc",,Open,06/14/2018,,"20 to 99",1,VA
"J Thomas McGrath P.C.","McGrath, Danielson, Sorrell & Fuller",Open,01/09/2020,,"10 to 19",5,"GA, NC, SC, VA"
"J Thomas McGrath PC",,Open,03/22/2019,,"10 to 19",2,"SC, VA"
"J W Logistics,LLC",,Open,04/10/2013,,"20 to 99",8,"AZ, GA, LA, MI, MN, PA, TX, VA"
"J&A HOSPITALITY STAFFING, INC","MCC CONSULTING",Open,04/17/2018,,"500 to 999",1,VA
"J&A Painting and Home Improvements, Inc.","J&A Painting and Home Improvements, Inc.",Open,02/28/2019,,"5 to 9",1,VA
"J&B Hartigan, Inc","J&B Hartigan, Inc",Open,01/10/2020,,"10 to 19",1,VA
"J&B MAG",,Open,04/15/2019,,"5 to 9",1,VA
"J&D Residential Services",,Open,03/18/2014,,"20 to 99",1,VA
"J&E Delivery Inc",,Open,10/29/2009,,"5 to 9",1,VA
"J&F ALLIANCE GROUP INC.",,Open,11/06/2016,,"10 to 19",1,VA
"J&G Vending Services, Inc","Peninsula Vending",Open,01/14/2014,,"5 to 9",1,VA
"J&H Contracting Inc",,Open,09/20/2016,,"10 to 19",1,VA
"J&J	Worldwide Services",,Open,09/20/2017,,"2,500 to 4,999",52,"AK, AL, CA, CO, FL, GA, HI, ID, KS, KY, LA, MD, MO, MT, NC, NV, PA, SC, TN, TX, VA, WA"
"J&J Insurance LLC",,Open,07/28/2022,,"20 to 99",1,VA
"J&J Landscape Management, Inc.",,Open,04/05/2011,,"20 to 99",1,VA
"J&J Maintenance, Inc.","J&J Worldwide Services",Open,07/24/2020,,"1,000 to 2,499",27,"AK, AZ, CA, CO, DC, FL, GA, HI, KS, KY, LA, MD, MO, MT, NC, NJ, NM, NV, NY, OR, PA, TN, TX, UT, VA, WA, WY"
"J&K Heavy Truck & Equipment Repair LLC","J&K Heavy Truck & Equipment Repair LLC",Open,01/15/2014,,"5 to 9",1,VA
"J&M Global Solutions LLC",,Open,04/26/2021,,"20 to 99",1,VA
"J&M Global Solutions LLC","J&M Global Solutions",Open,11/03/2011,,"20 to 99",1,VA
"J-Dos Internationale, Inc.",,Open,07/01/2008,,"10 to 19",3,"DC, MD, VA"
"J. A. Bryan, LLC",,Open,08/27/2009,,"10 to 19",1,VA
"J. Bruce Barnes, Inc.",,Open,07/06/2004,,"20 to 99",1,VA
"J. C. Mustard Engineering, Inc.",,Open,04/02/2014,,"5 to 9",1,VA
"J. Grady Randolph",,Open,06/07/2010,,"10 to 19",1,VA
"J. Henry Holland Corp,",,Open,04/06/2009,,"20 to 99",1,VA
"J. Kittelberger & Sons Inc.",,Open,01/03/2012,,"20 to 99",1,VA
"J. L. Kent and Sons, Inc.","J. L. Kent and Sons, Inc.",Open,09/20/2011,,"20 to 99",1,VA
"J. R. Caskey, Inc.","J. R. Caskey, Inc.",Open,01/05/2013,,"20 to 99",1,VA
"J. R. Reingold & Associates, Inc. dba Reingold, Inc.",,Open,09/24/2009,,"100 to 499",1,VA
"J. Rayl Transport Inc.","JRayl Transport",Open,10/15/2020,,"100 to 499",4,"IN, OH, TX, VA"
"J. Sanders Construction Co.",,Open,10/18/2011,,"20 to 99",1,VA
"J. Sargeant Reynolds Community College",,Open,05/24/2011,,"1,000 to 2,499",4,VA
"J. Sargeant Reynolds Community College",,Open,05/01/2014,,"1,000 to 2,499",4,VA
"J. Spargo & Associates",,Open,09/12/2018,,"100 to 499",1,VA
